iter	Passed	Remaining
629	46654	27400
630	46734	27329
631	46813	27258
632	46879	27179
633	46954	27106
634	47023	27029
635	47096	26954
636	47177	26884
637	47253	26811
638	47319	26732
639	47394	26659
640	47477	26590
641	47559	26520
642	47630	26444
643	47703	26370
644	47791	26303
645	47873	26234
646	47938	26154
647	48019	26084
648	48094	26011
649	48184	25945
650	48248	25865
651	48329	25795
652	48413	25726
653	48485	25651
654	48561	25578
655	48630	25501
656	48694	25422
657	48759	25343
658	48836	25270
659	48910	25196
660	48981	25120
661	49069	25053
662	49144	24979
663	49213	24903
664	49295	24833
665	49372	24760
666	49427	24676
667	49509	24606
668	49583	24532
669	49663	24461
670	49748	24392
671	49824	24318
672	49894	24242
673	49969	24169
674	50031	24089
675	50101	24013
676	50178	23940
677	50263	23871
678	50339	23798
679	50408	23721
680	50492	23652
681	50558	23574
682	50627	23497
683	50688	23417
684	50740	23333
685	50801	23252
686	50867	23175
687	50926	23094
688	51003	23022
689	51084	22951
690	51159	22877
691	51239	22805
692	51302	22726
693	51375	22652
694	51454	22580
695	51538	22510
696	51593	22428
697	51659	22351
698	51719	22271
699	51820	22208
700	51908	22140
701	52002	22075
702	52079	22002
703	52148	21925
704	52226	21853
705	52285	21773
706	52366	21701
707	52445	21630
708	52525	21558
709	52585	21478
710	52642	21397
711	52713	21322
712	52776	21243
713	52862	21174
714	52923	21095
715	52986	21016
716	53061	20943
717	53144	20873
718	53205	20793
719	53293	20725
720	53429	20675
721	53507	20602
722	53587	20530
723	53667	20459
724	53724	20378
725	53782	20298
726	53852	20222
727	53934	20151
728	54009	20077
729	54072	19999
730	54162	19931
731	54225	19853
732	54308	19782
733	54392	19711
734	54450	19631
735	54525	19558
736	54598	19483
737	54680	19412
738	54735	19331
739	54819	19260
740	54900	19189
741	54968	19112
742	55025	19032
743	55104	18960
744	55172	18884
745	55247	18810
746	55323	18737
747	55405	18666
748	55466	18587
749	55526	18508
750	55607	18437
751	55684	18364
752	55766	18292
753	55840	18218
754	55926	18148
755	56005	18075
756	56075	18000
757	56143	17924
758	56224	17852
759	56303	17779
760	56379	17706
761	56443	17629
762	56506	17551
763	56570	17474
764	56649	17402
765	56718	17326
766	56826	17262
767	56895	17187
768	56979	17116
769	57055	17042
770	57130	16968
771	57216	16898
772	57304	16828
773	57383	16755
774	57449	16678
775	57509	16600
776	57580	16525
777	57660	16453
778	57729	16377
779	57807	16304
780	57877	16229
781	57956	16156
782	58021	16080
783	58106	16008
784	58191	15937
785	58274	15866
786	58348	15791
787	58412	15714
788	58472	15637
789	58531	15559
790	58594	15481
791	58674	15409
792	58754	15337
793	58834	15264
794	58908	15190
795	58973	15113
796	59037	15037
797	59100	14960
798	59160	14882
799	59239	14809
800	59324	14738
801	59396	14664
802	59468	14589
803	59554	14518
804	59606	14438
805	59683	14365
806	59742	14287
807	59824	14215
808	59898	14141
809	59957	14064
810	60039	13991
811	60101	13915
812	60182	13842
813	60262	13770
814	60340	13697
815	60411	13622
816	60490	13549
817	60569	13476
818	60655	13405
819	60740	13333
820	60812	13258
821	60885	13184
822	60966	13111
823	61040	13037
824	61121	12965
825	61203	12892
826	61278	12818
827	61358	12745
828	61421	12669
829	61482	12592
830	61563	12520
831	61631	12444
832	61718	12373
833	61793	12299
834	61870	12225
835	61931	12149
836	61999	12074
837	62077	12000
838	62151	11926
839	62229	11853
840	62301	11778
841	62370	11703
842	62445	11629
843	62509	11553
844	62586	11480
845	62660	11406
846	62732	11331
847	62804	11257
848	62863	11180
849	62936	11106
850	63021	11034
851	63098	10960
852	63179	10887
853	63259	10814
854	63343	10742
855	63422	10669
856	63501	10595
857	63573	10521
858	63641	10446
859	63717	10372
860	63791	10298
861	63876	10226
862	63951	10152
863	64028	10078
864	64109	10005
865	64170	9929
866	64240	9854
867	64307	9779
868	64373	9704
869	64454	9631
870	64536	9558
871	64602	9482
872	64676	9408
873	64753	9335
874	64815	9259
875	64857	9180
876	64932	9106
877	64979	9029
878	65013	8949
879	65047	8870
880	65074	8789
881	65120	8712
882	65152	8632
883	65187	8554
884	65211	8473
885	65235	8393
886	65267	8314
887	65297	8235
888	65326	8156
889	65350	8077
890	65381	7998
891	65411	7919
892	65433	7840
893	65463	7761
894	65491	7683
895	65519	7604
896	65549	7526
897	65580	7448
898	65605	7370
899	65632	7292
900	65661	7214
901	65693	7137
902	65721	7059
903	65752	6982
904	65782	6905
905	65811	6828
906	65840	6751
907	65866	6673
908	65893	6596
909	65919	6519
910	65948	6442
911	65978	6366
912	66009	6290
913	66037	6213
914	66066	6137
915	66096	6061
916	66126	5985
917	66155	5909
918	66185	5833
919	66210	5757
920	66238	5681
921	66262	5605
922	66295	5530
923	66325	5455
924	66354	5380
925	66385	5305
926	66416	5230
927	66447	5155
928	66475	5080
929	66504	5005
930	66533	4931
931	66564	4856
932	66594	4782
933	66622	4707
934	66647	4633
935	66677	4559
936	66705	4485
937	66732	4410
938	66764	4337
939	66788	4263
940	66812	4189
941	66837	4115
942	66867	4041
943	66894	3968
944	66921	3894
945	66944	3821
946	66975	3748
947	66999	3675
948	67022	3601
949	67051	3529
950	67084	3456
951	67116	3384
952	67140	3311
953	67166	3238
954	67197	3166
955	67222	3093
956	67250	3021
957	67281	2949
958	67306	2877
959	67335	2805
960	67363	2733
961	67386	2661
962	67417	2590
963	67441	2518
964	67472	2447
965	67503	2375
966	67531	2304
967	67559	2233
968	67583	2162
969	67613	2091
970	67636	2020
971	67667	1949
972	67698	1878
973	67728	1807
974	67753	1737
975	67782	1666
976	67809	1596
977	67836	1525
978	67868	1455
979	67895	1385
980	67919	1315
981	67941	1245
982	67965	1175
983	67998	1105
984	68028	1035
985	68054	966
986	68084	896
987	68116	827
988	68144	757
989	68175	688
990	68206	619
991	68228	550
992	68260	481
993	68290	412
994	68315	343
995	68337	274
996	68366	205
997	68390	137
998	68422	68
999	68450	0
