iter	RMSE
568	28055.03015
569	28046.44997
570	28041.97954
571	28033.69084
572	28028.42926
573	28017.8744
574	28011.86169
575	28003.18817
576	27995.15024
577	27988.63166
578	27982.61254
579	27978.02413
580	27972.6997
581	27966.05025
582	27955.10621
583	27948.90597
584	27943.64303
585	27933.22783
586	27928.4082
587	27913.46102
588	27909.88493
589	27900.77574
590	27892.88816
591	27887.17451
592	27882.15269
593	27875.71472
594	27867.84825
595	27861.1227
596	27853.6763
597	27844.3158
598	27834.7983
599	27830.7306
600	27825.06661
601	27817.61174
602	27811.97234
603	27806.79856
604	27801.62682
605	27794.51399
606	27787.40919
607	27778.52138
608	27772.30864
609	27765.49261
610	27760.7607
611	27754.11385
612	27744.72379
613	27740.58046
614	27731.71694
615	27721.46054
616	27715.05136
617	27708.31316
618	27698.99588
619	27692.72532
620	27687.47352
621	27681.26299
622	27676.25209
623	27668.38035
624	27663.16083
625	27656.17583
626	27647.10463
627	27639.00172
628	27633.96448
629	27623.95973
630	27618.70821
631	27610.91924
632	27601.14262
633	27593.90963
634	27589.2544
635	27582.86594
636	27575.00357
637	27568.37606
638	27562.16001
639	27553.25129
640	27546.73533
641	27540.08573
642	27531.82995
643	27525.85527
644	27516.8957
645	27511.89495
646	27506.3057
647	27501.45803
648	27495.86172
649	27490.05906
650	27483.01575
651	27476.91994
652	27474.38514
653	27467.96758
654	27463.4583
655	27458.08246
656	27454.027
657	27448.87589
658	27442.92369
659	27436.24899
660	27430.48415
661	27426.56238
662	27421.28438
663	27415.01865
664	27409.10772
665	27404.23882
666	27396.71573
667	27387.18599
668	27383.38504
669	27377.32674
670	27374.51054
671	27369.40538
672	27362.35129
673	27354.77501
674	27348.84308
675	27342.87402
676	27337.39361
677	27333.78141
678	27329.95635
679	27325.4984
680	27315.92996
681	27309.49294
682	27303.66638
683	27294.49801
684	27290.07763
685	27284.14898
686	27278.55416
687	27276.43566
688	27269.43878
689	27262.02145
690	27258.815
691	27251.62965
692	27247.07272
693	27239.11938
694	27234.17701
695	27228.88515
696	27221.56762
697	27215.90882
698	27212.09687
699	27207.53594
700	27200.22501
701	27190.98933
702	27184.95811
703	27179.87901
704	27173.15773
705	27168.41768
706	27162.69884
707	27158.55425
708	27151.12465
709	27147.62377
710	27140.55465
711	27136.68346
712	27132.10698
713	27129.27398
714	27125.23195
715	27117.6106
716	27113.18136
717	27106.98335
718	27102.09487
719	27097.16426
720	27093.61691
721	27089.50667
722	27081.25859
723	27076.23192
724	27070.73588
725	27066.13056
726	27061.14408
727	27053.9538
728	27048.12996
729	27044.48737
730	27037.94861
731	27033.65336
732	27028.28808
733	27019.98973
734	27016.6656
735	27012.68771
736	27006.01904
737	27002.13507
738	26995.97935
739	26992.31138
740	26984.14483
741	26977.14604
742	26970.36462
743	26964.72936
744	26959.07536
745	26955.73801
746	26950.1503
747	26945.4673
748	26940.84453
749	26937.06331
750	26930.7819
751	26925.63423
752	26922.36179
753	26914.97935
754	26908.03868
755	26903.32632
756	26900.57545
757	26895.92369
758	26891.26565
759	26887.9649
760	26883.6346
761	26880.35979
762	26877.70336
763	26871.43282
764	26868.09868
765	26865.55426
766	26859.49291
767	26856.03041
768	26850.38165
769	26844.13095
770	26836.94873
771	26831.99146
772	26828.81348
773	26824.22811
774	26820.6562
775	26815.16147
776	26809.61344
777	26803.7948
778	26798.75049
779	26791.96706
780	26788.71365
781	26784.92947
782	26779.57683
783	26772.4468
784	26767.59882
785	26761.20248
786	26754.80058
787	26749.73206
788	26745.35513
789	26742.15884
790	26739.6077
791	26735.12509
792	26732.14675
793	26727.18006
794	26723.05316
795	26716.74488
796	26713.04253
797	26709.6777
798	26706.19168
799	26700.57479
800	26695.1675
801	26691.88584
802	26687.3989
803	26683.84584
804	26676.79399
805	26671.14974
806	26667.74167
807	26663.65102
808	26660.55941
809	26655.77617
810	26652.30409
811	26648.80778
812	26641.37158
813	26635.3746
814	26630.12326
815	26626.18035
816	26622.59969
817	26619.60782
818	26616.44579
819	26613.02942
820	26607.99228
821	26605.27264
822	26598.94361
823	26590.73804
824	26587.13771
825	26582.00703
826	26578.45108
827	26574.6466
828	26569.83407
829	26564.02723
830	26561.88309
831	26557.43047
832	26552.81711
833	26550.21793
834	26548.0681
835	26544.82162
836	26540.54259
837	26538.67605
838	26535.07304
839	26529.88887
840	26525.06106
841	26520.45802
842	26517.64164
843	26514.57447
844	26512.32347
845	26509.79518
846	26505.4596
847	26501.41538
848	26494.69541
849	26489.93294
850	26486.45521
851	26480.06601
852	26476.52027
853	26471.08831
854	26465.392
855	26461.5652
856	26458.4598
857	26454.50937
858	26450.00332
859	26446.09598
860	26439.8508
861	26437.26248
862	26432.73123
863	26429.24241
864	26425.16432
865	26419.9633
866	26415.31401
867	26411.04822
868	26407.72876
869	26405.29437
870	26400.46164
871	26398.06709
872	26395.49539
873	26392.38709
874	26388.52996
875	26384.13152
876	26381.5179
877	26377.33564
878	26374.50816
879	26372.23633
880	26369.66322
881	26363.74636
882	26359.92047
883	26354.81286
884	26349.8466
885	26345.97819
886	26343.19267
887	26339.49209
888	26336.12162
889	26332.22706
890	26327.09055
891	26324.41356
892	26320.65643
893	26315.01904
894	26308.677
895	26304.58312
896	26300.72635
897	26297.82501
898	26295.21247
899	26292.77693
900	26287.8849
901	26283.35705
902	26278.20679
903	26274.99513
904	26271.04827
905	26267.07966
906	26264.06683
907	26259.36351
908	26255.9152
909	26252.57846
910	26249.63464
911	26243.83548
912	26240.85128
913	26237.47226
914	26234.56981
915	26232.30782
916	26229.3792
917	26225.28256
918	26219.39852
919	26215.50107
920	26212.32148
921	26208.95313
922	26206.29746
923	26201.68385
924	26198.20419
925	26196.40997
926	26192.49581
927	26189.15979
928	26185.60949
929	26182.3538
930	26178.99461
931	26174.85373
932	26171.54366
933	26168.08089
934	26161.86172
935	26158.36842
936	26152.75967
937	26148.35536
938	26145.35472
939	26142.34257
940	26137.78988
941	26134.21295
942	26130.03541
943	26126.8777
944	26124.47799
945	26122.03041
946	26117.24665
947	26112.6657
948	26108.5569
949	26106.87953
950	26103.76472
951	26100.7188
952	26097.90663
953	26094.18789
954	26091.67805
955	26087.25362
956	26084.1848
957	26080.498
958	26078.2263
959	26075.7034
960	26072.71149
961	26069.24461
962	26065.93403
963	26061.98304
964	26058.04959
965	26054.70841
966	26052.04296
967	26047.56059
968	26044.52153
969	26041.4035
970	26037.70182
971	26034.24155
972	26028.99397
973	26026.0631
974	26020.81212
975	26017.3976
976	26015.51246
977	26009.19588
978	26004.77094
979	26001.2192
980	25997.35342
981	25994.88301
982	25991.50552
983	25988.4936
984	25984.65867
985	25982.18568
986	25980.01979
987	25978.72341
988	25972.4947
989	25969.64524
990	25964.93028
991	25960.38362
992	25956.83432
993	25953.32607
994	25948.12394
995	25944.7108
996	25940.46723
997	25937.95594
998	25934.92713
999	25932.50802
